char	cid
与	62081
乳	9657
伴	9946
佟	10010
俏	10191
俘	10204
倖	10305
倘	10309
倩	10340
偺	10483
儆	10749
儲	61911
兼	10958
再	10980
冬	11024
判	11207
券	11233
削	11258
勝	11496
勻	11551
匀	62145
半	11689
卿	61914
叛	61917
叟	11917
呀	12061
呈	62170
咎	12171
咲	12224
哨	61920
哪	12299
啁	12436
啡	62179
嗔	12688
嗖	12692
嗤	12721
嗩	12727
嗲	12739
囮	62198
坪	13367
埒	13518
埴	13571
堵	61926
塌	13710
填	13770
墜	13853
壓	13948
夕	14060
外	14063
夠	14081
夢	14086
天	14099
奠	62219
奢	62220
妥	14340
姬	14518
娜	14637
婬	14827
媛	14930
媾	15025
嫂	62234
嫌	15063
孚	62237
害	62241
宵	15571
寒	15626
尊	15744
屑	61929
屠	61930
幣	16838
平	16869
幸	16878
廉	17028
廊	17030
廠	17083
延	17131
弊	17169
彩	17349
徜	17432
徵	17479
忝	62297
怦	17656
悄	17801
悻	17899
情	17918
愈	61939
愉	18028
慎	18165
慨	62319
憊	18280
憋	18285
懵	18483
戎	18530
才	18645
抨	18776
拌	62336
拳	18881
拷	62341
挈	18917
挪	18970
捋	19021
捎	19026
採	19163
援	19310
搆	19335
搜	62356
摒	19476
撇	19569
撙	19602
擎	19700
擲	19774
敝	19977
敞	62364
敬	19997
斃	62367
於	20142
昊	20285
昶	20353
晴	20445
晷	20450
暑	20493
暖	20498
曙	20611
朕	20721
朗	20725
柊	20998
梢	21339
植	21548
楂	21631
楢	61956
楮	21709
概	62441
榔	61959
榻	21850
構	21886
槙	21910
樽	61962
櫛	61963
殍	22708
殖	22726
毋	22839
氅	22941
汆	23043
沿	62468
泮	23299
浮	23479
消	23517
淌	23628
淤	23673
淫	61966
添	62477
渚	23765
渣	62480
湲	62483
溝	23981
溢	61967
滇	24066
滋	24072
滔	24094
澂	24404
瀞	24697
煖	25289
煮	25341
爰	25756
爵	25762
牙	25831
猜	62519
猶	26176
猷	61984
琤	26546
瑗	26637
瑣	26657
瑱	26687
畔	27126
疼	61988
瘝	27496
瘦	27520
癒	27612
癤	62550
益	27814
直	27882
真	27945
眷	62561
眾	27992
睛	28037
睬	28069
睹	28087
瞋	28120
瞎	28127
瞥	61989
矗	28255
砰	28399
硝	28450
秤	61993
程	62586
稍	29206
稱	29273
稹	29289
稻	29293
穿	29423
箏	30005
箸	62000
節	30104
篝	62002
篠	30172
簾	62003
籍	62607
籐	62609
精	30663
終	30945
絆	62624
絣	31012
緩	31294
置	31957
署	31963
羋	32010
考	62672
者	32285
聚	32449
肖	32569
胖	62695
舀	33341
舔	33381
船	62714
艘	33545
苒	33808
苳	33882
苹	33894
荽	34153
莩	34254
菁	34291
菜	34349
萍	34465
著	34622
蒨	34810
蒹	34847
蔑	35067
蔽	62017
薄	35340
薇	62751
薨	35439
薯	62019
藤	35576
藷	62020
蚌	35949
蚕	35964
蚩	35998
蛸	62022
蜉	36134
蜻	36216
蝨	36293
螽	36451
衊	36711
襁	37192
覓	37364
訊	62797
訝	37605
評	37717
誕	37845
請	37958
諭	38031
諸	38058
謄	38085
謙	38139
講	38143
負	38778
賊	62833
賭	62037
賺	38918
購	38921
赭	39074
起	62840
趙	62841
趟	39148
蹈	39406
蹩	39472
蹲	39488
躇	39527
躑	39548
輸	39830
轄	62855
迅	62858
遘	40452
遵	40532
邃	40574
那	40638
邪	62952
都	40774
鄭	62050
鄹	40889
酋	40926
酹	41027
采	41211
鉛	62974
鉼	41539
錵	62977
鎌	42079
鎖	42100
闍	62990
闐	42966
隊	43230
隘	62997
雅	63004
霄	43474
霪	43560
靖	43652
靚	43662
靜	63016
鞘	62060
頤	63033
顛	44097
颼	44238
騰	44950
驚	45035
驟	45043
鯓	45731
鯖	62071
鰥	45873
鱈	63079
鱉	45953
鱒	62073
鴉	46198
鶼	46493
